ID,subscribed
2866,0.2
1957,0.2
768,0.3
4510,0.2
7893,0.3
5540,0.3
385,0.7
5152,0.3
1770,0.3
5779,0.2
4365,0.2
917,0.8
2127,0.8
2522,0.8
7039,0.5
3312,0.3
5043,0.9
1087,0.3
3812,0.2
6237,0.3
4125,0.8
4751,0.3
2508,0.2
2753,0.2
2280,0.8
5975,0.3
6328,0.6
4908,0.4
1865,0.3
6535,0.3
7716,0.3
4112,0.9
6048,0.2
6017,0.4
8056,0.2
209,0.3
111,0.3
6264,0.2
2063,0.3
5006,0.3
204,0.3
494,0.3
6606,0.4
228,0.3
8084,0.4
6423,0.2
3890,0.8
7129,0.7
2188,0.3
5111,0.3
3523,0.2
659,0.3
5659,0.8
7130,0.3
2428,0.4
1431,0.3
1861,0.8
3431,0.9
6615,0.3
7161,0.3
4104,0.3
2940,0.3
2821,0.4
6290,0.2
7925,0.9
6840,0.3
2387,0.9
1950,0.5
4405,0.3
1745,0.4
4970,0.3
7420,0.7
1887,0.3
2476,0.3
6141,0.3
3332,0.6
2040,0.4
1313,0.3
1543,0.2
1701,0.3
7205,0.6
1970,0.8
1984,0.8
4308,0.3
2974,0.3
5382,0.3
6725,0.2
4808,0.2
5068,0.5
5044,0.4
4911,0.4
6482,0.9
3142,0.4
7371,0.4
3729,0.4
2870,0.4
1125,0.5
3451,0.3
1447,0.3
5418,0.3
6662,0.2
3868,0.8
3260,0.2
7615,0.3
6252,0.3
7640,0.3
7166,0.2
5027,0.3
7892,0.3
5878,0.9
6337,0.2
1085,0.4
7935,0.2
2730,0.3
1373,0.2
4974,0.9
5020,0.4
3932,0.9
2149,0.4
948,0.8
7429,0.3
6111,0.3
1309,0.4
1461,0.3
7632,0.9
3477,0.2
6795,0.3
3373,0.6
3990,0.6
3253,0.3
4992,0.5
1853,0.3
7460,0.3
5307,0.5
2320,0.4
6082,0.3
4333,0.3
4243,0.2
663,0.4
3371,0.2
6210,0.9
6090,0.3
936,0.2
3375,1.0
3037,0.3
7482,0.3
5455,0.3
8039,0.3
3223,0.3
3105,0.2
5457,0.3
4237,0.2
4302,0.3
3295,0.3
4461,0.3
5321,0.6
2448,0.3
2846,0.3
5845,0.2
514,0.3
5438,0.3
3848,0.7
3994,0.5
3024,0.3
4653,0.3
974,0.5
2468,0.3
8208,0.3
4050,0.2
6305,0.8
2398,0.6
1708,0.2
1068,0.3
6663,0.3
1669,0.3
7267,0.3
4130,0.4
175,0.8
2351,0.4
2694,0.8
848,0.2
5261,0.2
6024,0.3
3272,0.8
3120,0.2
6408,0.2
4271,0.8
5952,1.0
3465,0.3
3316,0.2
568,0.3
6159,0.3
5125,0.4
5349,0.2
3326,0.9
2813,0.3
2037,0.2
1,0.3
4145,0.2
5817,0.2
2091,0.4
6756,0.3
110,0.3
7767,0.6
7794,0.2
1468,0.2
6898,0.3
6646,0.4
3874,0.5
4518,0.2
6096,0.2
4368,0.3
3770,0.2
4392,0.9
7992,1.0
7196,0.5
1383,0.3
1190,0.8
2163,0.5
2089,0.3
6742,0.9
2764,0.8
8008,0.2
5078,0.3
4127,0.3
7635,0.8
2247,0.4
7670,0.4
5874,0.3
1422,0.3
6533,0.8
591,0.3
7288,0.5
4793,0.2
138,0.4
7779,0.4
1188,0.3
4780,0.9
7426,0.3
3107,0.3
4723,0.4
5475,0.4
6886,0.3
4154,0.3
6531,0.3
703,0.3
4241,0.4
3285,0.2
6396,0.3
74,0.7
1364,0.4
295,0.3
7951,0.3
7197,0.4
5388,0.3
7009,0.5
6387,0.3
7441,0.3
7554,0.3
2586,0.6
462,0.3
1804,0.2
5900,0.7
3049,0.3
4676,0.5
2691,0.9
3012,0.3
2985,0.5
8214,0.6
1265,0.2
755,0.7
5737,0.9
1779,0.8
1197,0.3
7251,0.5
778,0.8
4426,0.2
6814,0.8
5259,0.3
7271,0.2
4176,0.9
1564,0.4
347,0.7
2619,0.4
4648,0.4
37,0.8
7516,0.8
5005,0.3
4291,0.3
8179,0.6
2123,0.9
8165,0.3
8119,0.6
7490,0.2
3460,0.3
5666,0.2
1252,0.5
1698,0.4
6342,0.3
495,0.9
2225,0.7
41,0.4
4791,0.3
2393,0.3
5770,0.3
5526,0.2
426,0.9
7012,0.3
1714,0.2
1625,0.3
1223,0.2
6272,0.4
1175,0.3
1699,0.3
2883,0.3
1915,0.4
6547,0.3
3674,0.3
2201,0.2
2397,0.6
121,0.7
5798,0.2
3233,0.5
5758,0.3
6026,0.3
2048,0.7
5414,0.3
6601,0.2
784,0.4
5577,0.4
3232,0.4
4732,0.2
3576,0.5
5270,0.2
8181,0.2
8125,0.3
8233,0.2
7115,0.3
1416,0.3
6986,0.3
3028,0.2
1117,0.3
7162,0.2
3009,0.8
2751,0.2
7478,0.3
3110,0.2
7310,0.3
6181,0.6
3410,0.4
892,0.3
6632,0.2
6474,0.3
6586,0.3
7631,0.2
242,0.5
533,0.8
7542,0.4
6805,0.3
